#query_id	ref_id	ref_start	ref_bp_aligned	query_coverage	query_identity
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:16561:2940	hmp2011120623S_566	317	84	61.31	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:17806:3512	ncbibact2012011723S_3711	99	111	56.92	96.40
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:14625:3733	ncbibact2012011723S_1599	1380	111	58.12	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:21761:4086	hmp2011120623S_519	468	123	60.89	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:13453:4179	gg20110531_525327	168	78	50.65	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:10798:4303	hmp2011120623S_297	682	92	56.79	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7471:4487	gg20110531_156526	612	122	59.80	98.36
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:18899:4522	hmp2011120623S_195	1425	106	42.74	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:11638:4747	slr108_1937	385	150	73.17	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:15668:4871	slr108_1158	2387	107	57.53	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7170:4909	hmp2011120623S_131	873	67	56.30	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:8439:5179	hmp2011120623S_485	488	133	71.51	99.25
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:21429:5358	ncbibact2012011723S_1599	1188	235	93.63	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:10329:5404	hmp2011120623S_708	1547	103	55.38	99.03
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:18410:5472	gg20110531_189370	1070	215	98.17	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:21146:5611	slr108_1634	888	250	100.00	96.40
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7395:5810	slr108_17667	68	121	56.02	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7395:5810	slr108_7900	1	55	25.46	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:10471:5976	slr108_15937	73	134	62.04	90.30
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:18676:6673	slr108_6131	1413	132	75.00	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:23332:7173	ncbibact2012011723S_1599	1577	207	84.49	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:21494:7707	slr108_17666	3127	103	55.98	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:18113:7870	gg20110531_432884	666	91	53.85	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:4363:7901	hmp2011120623S_668	1694	70	46.67	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7545:7904	ssr108_494402	468	138	63.89	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:3904:7956	gg20110531_7240	675	119	65.38	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:19706:8028	rdp1028_1551593	58	226	90.40	99.56
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:19619:8208	gg20110531_78987	167	139	64.06	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:13577:8226	ncbibact2012011723S_2401	2340	176	70.12	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:25504:8613	slr108_12126	1046	238	95.20	93.70
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:27053:9338	rdp1028_102738	1219	89	52.98	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:27292:9384	hmp2011120623S_131	72	91	60.93	97.83
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:24009:9579	gg20110531_167057	159	75	49.02	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:23836:9728	ncbibact2012011723S_3677	1718	139	69.85	97.84
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7538:9790	hmp2011120623S_444	1431	219	87.95	95.43
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7538:9790	slr108_3716	2506	38	15.26	100.00
